Textbox_value,Field1,Player,player_url,name,age,position,height_cm,weight_kg,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS_,AerialsWon,MotM,Rating
19793,Premier League - 2021/2022,	1,https://www.whoscored.com/Players/5583/Show/Cristiano-Ronaldo,Cristiano Ronaldo,38,",  M(L),FW  ",187,83,27(3),2459	,18	,3	,8	,-	,3.7	,81.9	,1.4	,5	,7.11
19793,Premier League - 2021/2022,	2,https://www.whoscored.com/Players/123761/Show/Bruno-Fernandes,Bruno Fernandes,28,",  M(CLR)  ",179,69,35(1),3120	,10	,6	,10	,-	,2.5	,78.3	,0.5	,3	,7.03
19793,Premier League - 2021/2022,	3,https://www.whoscored.com/Players/97752/Show/Paul-Pogba,Paul Pogba,30,",  M(CL)  ",191,84,16(4),1355	,1	,9	,7	,1	,1.6	,83.5	,1.8	,1	,7.00
19793,Premier League - 2021/2022,	4,https://www.whoscored.com/Players/367782/Show/Mason-Greenwood,Mason Greenwood,21,",  AM(R),FW  ",181,70,16(2),1281	,5	,1	,1	,-	,2.7	,83.8	,0.2	,-	,6.98
19793,Premier League - 2021/2022,	5,https://www.whoscored.com/Players/331924/Show/Aaron-Wan-Bissaka,Aaron Wan-Bissaka,25,",  D(R),M(R)  ",183,72,20,1794	,-	,-	,2	,-	,0.3	,81	,1	,1	,6.91
19793,Premier League - 2021/2022,	6,https://www.whoscored.com/Players/336915/Show/Scott-McTominay,Scott McTominay,26,",  D(C),DMC  ",193,88,28(2),2393	,1	,1	,9	,-	,0.9	,85.6	,2.3	,2	,6.89
19793,Premier League - 2021/2022,	7,https://www.whoscored.com/Players/125793/Show/Alex-Telles,Alex Telles,30,",  D(CL),M(L)  ",181,71,18(3),1660	,-	,4	,1	,-	,0.5	,80.3	,1.4	,-	,6.89
19793,Premier League - 2021/2022,	8,https://www.whoscored.com/Players/114397/Show/Fred,Fred,30,",  M(C)  ",169,64,24(4),2036	,4	,4	,5	,-	,0.5	,84.1	,0.5	,2	,6.87
19793,Premier League - 2021/2022,	9,https://www.whoscored.com/Players/353418/Show/Diogo-Dalot,Diogo Dalot,24,",  D(LR),M(R)  ",183,76,19(5),1799	,-	,-	,4	,-	,0.5	,80.2	,1.2	,1	,6.86
19793,Premier League - 2021/2022,	10,https://www.whoscored.com/Players/93206/Show/Rapha%C3%ABl-Varane,Raphaël Varane,30,",  D(C)  ",191,81,20(2),1829	,1	,1	,-	,-	,0.4	,87.8	,2.5	,1	,6.78
19793,Premier League - 2021/2022,	11,https://www.whoscored.com/Players/346300/Show/Jadon-Sancho,Jadon Sancho,23,",  AM(CLR)  ",180,76,20(9),1904	,3	,3	,-	,-	,0.9	,83.5	,0.1	,1	,6.66
19793,Premier League - 2021/2022,	12,https://www.whoscored.com/Players/99487/Show/Harry-Maguire,Harry Maguire,30,",  D(C)  ",194,90,28(2),2514	,1	,-	,7	,1	,0.8	,86.4	,2.5	,-	,6.65
19793,Premier League - 2021/2022,	13,https://www.whoscored.com/Players/79554/Show/David-de-Gea,David de Gea,32,",  GK  ",192,76,38,3420	,-	,-	,-	,-	,-	,68.9	,0.2	,1	,6.64
19793,Premier League - 2021/2022,	14,https://www.whoscored.com/Players/118244/Show/Luke-Shaw,Luke Shaw,27,",  D(CL),M(L)  ",185,75,19(1),1603	,-	,3	,8	,-	,0.3	,84.1	,1	,-	,6.64
19793,Premier League - 2021/2022,	15,https://www.whoscored.com/Players/38128/Show/Nemanja-Matic,Nemanja Matic,34,",  DMC  ",194,85,16(7),1384	,-	,4	,3	,-	,0.3	,87.1	,1.2	,-	,6.63
19793,Premier League - 2021/2022,	16,https://www.whoscored.com/Players/413211/Show/Anthony-Elanga,Anthony Elanga,21,",  AM(LR)  ",178,70,14(7),1217	,2	,2	,-	,-	,1	,78.2	,1.1	,-	,6.56
19793,Premier League - 2021/2022,	17,https://www.whoscored.com/Players/302313/Show/Dan-James,Dan James,25,",  AM(CLR),FW  ",171,63,2,128	,-	,-	,-	,-	,2	,69	,0.5	,-	,6.53
19793,Premier League - 2021/2022,	18,https://www.whoscored.com/Players/100008/Show/Victor-Lindel%C3%B6f,Victor Lindelöf,28,",  D(CR)  ",187,80,26(2),2355	,-	,2	,4	,-	,0.1	,87.8	,1.9	,-	,6.50
19793,Premier League - 2021/2022,	19,https://www.whoscored.com/Players/81726/Show/Phil-Jones,Phil Jones,31,",  D(CR),DMC  ",180,71,2(2),163	,-	,-	,-	,-	,-	,87.7	,0.5	,-	,6.42
19793,Premier League - 2021/2022,	20,https://www.whoscored.com/Players/24328/Show/Edinson-Cavani,Edinson Cavani,36,",  AM(LR),FW  ",184,71,7(8),765	,2	,1	,-	,-	,1.2	,76.1	,0.5	,-	,6.40
19793,Premier League - 2021/2022,	21,https://www.whoscored.com/Players/300299/Show/Marcus-Rashford,Marcus Rashford,25,",  AM(CLR),FW  ",180,70,13(12),1233	,4	,2	,2	,-	,0.9	,76.1	,0.4	,-	,6.35
