Musim,Liga,Liga_URL,Liga1,Tingkatanliga,W,D,L,Gol,+_-,Poin,Peringkat,Manajer_URL,Manajer
22/23,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2022,Premier League,Divisi pertama,23,6,9,58:43,15,75,3,https://www.transfermarkt.co.id/erik-ten-hag/profil/trainer/3816,Erik ten Hag
21/22,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2021,Premier League,Divisi pertama,16,10,12,57:57,0,58,6,https://www.transfermarkt.co.id/ralf-rangnick/profil/trainer/196,Ralf Rangnick
20/21,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2020,Premier League,Divisi pertama,21,11,6,73:44,29,74,2,https://www.transfermarkt.co.id/ole-gunnar-solskjaer/profil/trainer/7286,Ole Gunnar Solskjaer
19/20,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2019,Premier League,Divisi pertama,18,12,8,66:36,30,66,3,https://www.transfermarkt.co.id/ole-gunnar-solskjaer/profil/trainer/7286,Ole Gunnar Solskjaer
18/19,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2018,Premier League,Divisi pertama,19,9,10,65:54,11,66,6,https://www.transfermarkt.co.id/ole-gunnar-solskjaer/profil/trainer/7286,Ole Gunnar Solskjaer
17/18,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2017,Premier League,Divisi pertama,25,6,7,68:28,40,81,2,https://www.transfermarkt.co.id/jose-mourinho/profil/trainer/781,José Mourinho
16/17,https://tmssl.akamaized.net/images/logo/verysmall/gb1.png?lm=1521104656,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2016,Premier League,Divisi pertama,18,15,5,54:29,25,69,6,https://www.transfermarkt.co.id/jose-mourinho/profil/trainer/781,José Mourinho
15/16,https://tmssl.akamaized.net/images/logo/verysmall/gb1_1464786857.png?lm=1464786857,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2015,Premier League,Divisi pertama,19,9,10,49:35,14,66,5,https://www.transfermarkt.co.id/louis-van-gaal/profil/trainer/2029,Louis van Gaal
14/15,https://tmssl.akamaized.net/images/logo/verysmall/gb1_1464786857.png?lm=1464786857,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2014,Premier League,Divisi pertama,20,10,8,62:37,25,70,4,https://www.transfermarkt.co.id/louis-van-gaal/profil/trainer/2029,Louis van Gaal
13/14,https://tmssl.akamaized.net/images/logo/verysmall/gb1_1464786857.png?lm=1464786857,https://www.transfermarkt.co.id/premier-league/startseite/wettbewerb/GB1/saison_id/2013,Premier League,Divisi pertama,19,7,12,64:43,21,64,7,https://www.transfermarkt.co.id/ryan-giggs/profil/trainer/29694,Ryan Giggs
