_,Player_URL,Player,Player1,Player_URL2,Player3,Player4,Dateofbirth_Age,Currentclub_URL,Currentclub,Marketvalue_URL,Marketvalue,Field13
"
  ,1
  
  
  
  
  
  
  
  
  
  
  
  
",,,https://img.a.transfermarkt.technology/portrait/small/59377-1667548362.jpg?lm=1,https://www.transfermarkt.com/david-de-gea/profil/spieler/59377,David de Gea,Goalkeeper,"Nov 7, 1990 (24)",https://www.transfermarkt.com/manchester-united/startseite/verein/985,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,https://www.transfermarkt.com/david-de-gea/marktwertverlauf/spieler/59377,€40.00m,15/16
"
  ,20
  
  
  
  
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/uc-sampdoria/startseite/verein/1038/saison_id/2015,https://tmssl.akamaized.net/images/wappen/kaderquad/1038.png?lm=1520934353,https://img.a.transfermarkt.technology/portrait/small/30690-1596803710.jpg?lm=1,https://www.transfermarkt.com/sergio-romero/profil/spieler/30690,Sergio Romero,Goalkeeper,"Feb 22, 1987 (28)",https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189,https://tmssl.akamaized.net/images/wappen/verysmall/189.png?lm=1511621129,https://www.transfermarkt.com/sergio-romero/marktwertverlauf/spieler/30690,€5.00m,15/16
"
  ,32
  
  
  
  
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/standard-liege/startseite/verein/3057/saison_id/2015,https://tmssl.akamaized.net/images/wappen/kaderquad/3057.png?lm=1496825940,https://img.a.transfermarkt.technology/portrait/small/s_7589_131_2012_2.jpg?lm=1,https://www.transfermarkt.com/victor-valdes/profil/spieler/7589,Víctor Valdés,Goalkeeper,"Jan 14, 1982 (33)",,,https://www.transfermarkt.com/victor-valdes/marktwertverlauf/spieler/7589,€3.50m,15/16
"
  ,50
  
  
  
  
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2015,https://tmssl.akamaized.net/images/wappen/kaderquad/466.png?lm=1414769167,https://img.a.transfermarkt.technology/portrait/small/110864-1672915792.jpg?lm=1,https://www.transfermarkt.com/sam-johnstone/profil/spieler/110864,Sam Johnstone,Goalkeeper,"Mar 25, 1993 (22)",https://www.transfermarkt.com/crystal-palace/startseite/verein/873,https://tmssl.akamaized.net/images/wappen/verysmall/873.png?lm=1457723287,https://www.transfermarkt.com/sam-johnstone/marktwertverlauf/spieler/110864,€250k,15/16
"
  ,-
  
  
  
  
  
  
  
  
  
  
  
  
",,,https://img.a.transfermarkt.technology/portrait/small/192611-1483619430.jpg?lm=1,https://www.transfermarkt.com/joel-pereira/profil/spieler/192611,Joel Pereira,Goalkeeper,"Jun 28, 1996 (19)",https://www.transfermarkt.com/rkc-waalwijk/startseite/verein/235,https://tmssl.akamaized.net/images/wappen/verysmall/235.png?lm=1435505083,,,15/16
"
  ,-
  
  
  
  
  
  
  
  
  
  
  
  
",,,https://img.a.transfermarkt.technology/portrait/small/258919-1580389388.jpg?lm=1,https://www.transfermarkt.com/dean-henderson/profil/spieler/258919,Dean Henderson,Goalkeeper,"Mar 12, 1997 (18)",https://www.transfermarkt.com/manchester-united/startseite/verein/985,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,,,15/16
"
  ,12
  
  
  
  
  
  
  
  
  
  
  
  
",,,https://img.a.transfermarkt.technology/portrait/small/103427-1661351602.jpg?lm=1,https://www.transfermarkt.com/chris-smalling/profil/spieler/103427,Chris Smalling,Centre-Back,"Nov 22, 1989 (25)",https://www.transfermarkt.com/as-rom/startseite/verein/12,https://tmssl.akamaized.net/images/wappen/verysmall/12.png?lm=1533302889,https://www.transfermarkt.com/chris-smalling/marktwertverlauf/spieler/103427,€20.00m,15/16
"
  ,5
  
  
  
  
  
  
  
  
  
  
  
  
",,,https://img.a.transfermarkt.technology/portrait/small/93176-1633537711.JPG?lm=1,https://www.transfermarkt.com/marcos-rojo/profil/spieler/93176,Marcos Rojo,Centre-Back,"Mar 20, 1990 (25)",https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189,https://tmssl.akamaized.net/images/wappen/verysmall/189.png?lm=1511621129,https://www.transfermarkt.com/marcos-rojo/marktwertverlauf/spieler/93176,€18.00m,15/16
"
  ,4
  
  
  
  
  
  
  
  
  
  
  
  
",,,https://img.a.transfermarkt.technology/portrait/small/117996-1469631370.jpg?lm=1,https://www.transfermarkt.com/phil-jones/profil/spieler/117996,Phil Jones,Centre-Back,"Feb 21, 1992 (23)",https://www.transfermarkt.com/manchester-united/startseite/verein/985,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,https://www.transfermarkt.com/phil-jones/marktwertverlauf/spieler/117996,€15.00m,15/16
"
  ,33
  
  
  
  
  
  
  
  
  
  
  
  
",,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/paddy-mcnair/profil/spieler/167268,Paddy McNair,Centre-Back,"Apr 27, 1995 (20)",https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641,https://tmssl.akamaized.net/images/wappen/verysmall/641.png?lm=1443702192,https://www.transfermarkt.com/paddy-mcnair/marktwertverlauf/spieler/167268,€4.50m,15/16
"
  ,-
  
  
  
  
  
  
  
  
  
  
  
  
",,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/ro-shaun-williams/profil/spieler/314388,Ro-Shaun Williams,Centre-Back,"Sep 3, 1998 (16)",https://www.transfermarkt.com/doncaster-rovers/startseite/verein/2454,https://tmssl.akamaized.net/images/wappen/verysmall/2454.png?lm=1409253612,,,15/16
"
  ,-
  
  
  
  
  
  
  
  
  
  
  
  
",,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/axel-tuanzebe/profil/spieler/342046,Axel Tuanzebe,Centre-Back,"Nov 14, 1997 (17)",https://www.transfermarkt.com/manchester-united/startseite/verein/985,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,,,15/16
"
  ,23
  
  
  
  
  
  
  
  
  
  
  
  
",,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,Luke Shaw,Left-Back,"Jul 12, 1995 (19)",https://www.transfermarkt.com/manchester-united/startseite/verein/985,https://tmssl.akamaized.net/images/wappen/verysmall/985.png?lm=1457975903,https://www.transfermarkt.com/luke-shaw/marktwertverlauf/spieler/183288,€21.00m,15/16
"
  ,17
  
  
  
  
  
  
  
  
  
  
  
  
",,,"data:image/gif;base64,R0lGODlhAQABAIAAAMLCwgAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.transfermarkt.com/daley-blind/profil/spieler/12282,Daley Blind,Left-Back,"Mar 9, 1990 (25)",https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,https://www.transfermarkt.com/daley-blind/marktwertverlauf/spieler/12282,€19.00m,15/16
